"id","masters","ln_salary","salary","te_masters","p_masters","female","black","hispanic","asian","age_ba","firstgen","parent_income_q","parent_grad","ugpa","stem_major","bus_major","ed_major","selective_inst","public_ug","state_unemp","metro","ga_funding_adj","state"
2325,0,10.7761923515352,47867.5141346935,0.0746742532650576,0.386005262015802,1,0,0,0,25,0,1,0,2.80518722401461,0,0,0,1,1,7.97593968170371,0,21.7136824099973,1
5319,1,10.6870157831245,43783.6519317513,0.122916941361174,0.568160607642053,1,0,0,0,24,0,3,1,2.94431784055206,0,1,0,0,0,6.05313141221665,1,21.0280135622554,1
5956,1,11.6827897407463,118514.398765615,0.411976613982425,0.921529527436266,0,0,0,0,23,0,3,1,2.57095419216949,1,0,0,0,1,5.85899170670349,1,29.0772536442508,1
6330,0,9.92728269378866,20481.6100910167,0.138682035921453,0.211216674275588,1,0,0,0,24,1,2,0,2.89544646854631,0,0,0,0,0,6.28338847387775,1,24.096884664124,1
4392,1,10.9416475722291,56480.3219404198,0.115116294523558,0.322696828333243,0,0,0,0,22,0,3,1,2.71450103024673,0,0,0,0,1,8.29067289352754,1,20.6538080844618,1
4611,0,10.8544451350105,51763.7375089924,0.0600796799246713,0.476497298478558,0,1,0,0,23,0,4,0,2.49991513639638,0,0,0,0,1,6.58439530100598,1,24.2413807966171,1
5730,0,9.69231741195093,16192.7260633518,0.0582709257350016,0.323548677556639,1,0,0,0,23,1,2,0,2.9076945725539,0,0,0,1,0,5.20233885059918,1,25.3937768798013,1
886,1,11.136172439708,68608.5498759455,0.275917051027142,0.585360678311434,1,0,0,0,22,0,2,0,2.89611116095796,1,0,0,1,1,5.52412672737882,1,24.1419704451496,1
2878,0,10.6911665404064,43965.76493581,0.209329512986927,0.388087737282252,0,0,0,0,23,1,5,1,2.72501319768971,0,1,0,0,0,7.43268115690928,1,20.0747443717047,1
5928,0,10.0003793362288,22034.8228162359,0.0715320171733628,0.312437719603785,1,0,0,1,25,1,3,0,2.60100712722549,0,0,0,0,1,5.93729620797476,0,25.6616757685415,1
4339,0,10.7333296580078,45859.1333273764,0.225918266840235,0.455099116730311,0,0,0,1,23,0,3,0,2.91233299571665,0,1,0,1,0,5.76074125076094,1,21.1248694347427,1
3175,0,10.2576334014854,28499.2600136234,0.135249468816621,0.317981140157438,0,0,0,0,23,1,3,1,2.65777911781587,0,0,1,0,1,7.54373309175845,0,25.5920424838162,1
6947,0,10.7602225587615,47109.1514183885,0.0522824895933672,0.333531487081315,0,0,0,0,22,0,3,0,2.86543381767726,0,0,0,1,0,4.70999455343219,1,21.8893654853021,1
7790,0,11.0411936427951,62392.081221007,0.115439311166349,0.0407523199255496,0,0,0,0,23,1,2,0,2.77879978932309,0,1,0,0,1,8.31745738723719,1,21.455864304683,1
4749,0,10.6965149510541,44201.5418549761,0.0937272751149307,0.165027807983031,1,0,0,0,23,0,3,0,2.63041834675725,0,0,0,0,1,6.2002623935084,1,18.872525546729,1
788,0,11.3110166325013,81716.9423865238,0.30778733615386,0.660692582813872,0,0,0,0,23,0,2,0,2.54771814102234,1,0,0,0,1,7.89747796714162,1,23.9869894420809,1
6411,0,10.5717915456396,39018.5145939414,0.164449671001209,0.143994387480551,0,0,0,0,22,1,3,1,2.52883045959482,0,0,0,0,1,4.7833943271236,0,21.1063416932901,1
559,0,11.0311577005763,61769.0494835341,0.146248747652835,0.568170776708629,1,0,0,0,23,0,3,1,2.84827033504104,1,0,0,0,0,6.75867610049607,0,28.0100504577144,1
2424,1,10.8564403058414,51867.1181048448,0.171891466116402,0.243469946804761,0,0,0,1,22,0,4,0,2.59758040390422,0,1,0,1,1,6.81919328391499,1,19.6422216395317,1
6798,0,10.3956599091414,32717.3209445404,0.0490647406159796,0.313904066562779,1,1,0,0,24,0,2,1,2.97702215103677,0,0,0,1,0,4.9419925763028,1,19.6802720410498,1
2572,0,10.4840372495805,35740.4096137381,0.178785766293427,0.228095074306806,0,0,0,0,25,0,5,0,2.65156897663834,0,0,0,1,0,6.57464281361846,0,21.197956668602,1
748,0,10.1956094938352,26785.3263911451,-0.0975628188513269,0.11704428767045,0,0,0,0,24,0,3,0,2.54282073317117,0,0,0,0,1,7.85982461662186,1,26.0623812568992,1
3360,1,10.8721901201322,52690.4824807896,0.209973366258771,0.380118821099483,1,0,0,0,22,1,2,0,2.75315132912723,0,0,0,1,1,7.76488107321105,1,23.3813688716395,1
583,1,11.5590196039047,104717.298606607,0.308860628097082,0.673404223232482,1,0,0,0,24,1,5,0,3.06867573150466,1,0,0,0,1,5.89453111284045,1,24.7292213005971,1
4391,0,10.4196741634617,33512.5127654986,0.0398131156696948,0.0663221704576755,0,0,0,0,23,0,3,1,2.55756212885181,0,1,0,1,1,7.68168940301651,0,16.8493299624315,1
1689,0,11.1211742784719,67587.2259184867,0.212583143465832,0.517517507650307,1,0,1,0,25,0,2,0,3.04986546053781,0,1,0,1,0,4.92066350487483,1,21.0813810602664,1
1612,1,11.1851741960004,72054.2218626508,0.220899550475212,0.522813211607943,1,0,0,0,22,0,2,0,2.85098138009841,1,0,0,0,1,7.69756732923917,1,25.5785919672885,1
491,1,11.4236192544396,91456.5481111766,0.216190689578745,0.921335984471287,0,1,0,0,23,1,1,1,2.99644084228574,0,0,1,0,1,6.43576240205471,1,29.9860002337516,1
1705,1,11.1163613585564,67262.7155604278,0.190490541279895,0.747941069594683,1,0,0,0,24,0,5,0,2.9754161234924,1,0,0,0,0,7.68676636843346,1,32.7175791071851,1
125,1,11.2181673469427,74471.16980167,0.192503422610177,0.354783675625418,1,0,0,0,24,0,5,1,3.03818375435717,0,0,0,0,1,8.08650234997286,0,20.9397658621969,1
7496,0,10.2872844272525,29356.9450901702,0.125544741760273,0.280774717642867,0,0,1,0,24,0,4,1,2.70942768655521,0,0,0,0,0,5.08684541807143,1,20.2291669609036,1
